,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.10,
sdsl_k2,323.108504,635.877719,941.849008,1263.865989,1571.839118,1875.664341,2169.923656,2434.416873,2737.116345,
ofb,10.186099,19.599460,28.767950,38.347359,47.575012,56.619564,65.426774,73.236103,82.142904,
qsi_0032,12.084578,20.452026,28.066637,35.646154,43.037335,49.968463,56.676477,62.856218,69.623775,
qsi_0064,14.900676,24.461838,33.125509,41.311732,49.232243,56.915267,64.087188,70.947210,78.190127,
qsi_0128,20.304847,32.085103,42.223228,51.925473,60.998980,69.711852,78.498606,85.972950,94.281835,
qsi_0256,30.777752,46.712563,59.831964,72.758153,83.612871,94.589816,104.978296,114.609532,124.154927,
qsi_0512,51.133397,75.674037,94.570425,112.448337,128.142017,143.324753,158.324550,171.333887,184.105631,
qsi_1024,90.722094,130.589859,161.461615,189.354548,213.316302,240.115960,259.932430,279.688384,299.475434,
qsi_1280,109.037564,155.313202,192.854036,223.668491,252.526881,280.268798,306.532790,329.656687,352.176104,
qsi_1536,127.414259,182.370986,224.711760,262.404441,293.537719,325.198818,357.110580,383.026650,406.428108,
qsi_1792,148.090305,209.431372,255.432095,297.277880,334.703325,369.869495,404.924917,434.748232,464.929305,
qsi_2048,166.555286,232.807068,286.997281,330.592878,371.572659,409.122172,447.449878,478.703907,511.042741,
