,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.10,
sdsl_k2,150.923001,300.776356,449.989445,598.187025,742.942654,882.489777,1016.916186,1154.763509,1294.839615,1437.919614,
ofb,5.128241,9.906106,14.669460,19.301387,23.888750,28.278462,32.464657,36.758605,41.181929,45.552565,
qsi_0032,6.975265,11.557235,15.708944,19.682822,23.498249,27.024398,30.535468,34.144483,37.399619,40.954162,
qsi_0064,8.895139,14.267454,19.065247,23.519417,27.836168,31.692214,35.550579,39.273894,43.114569,46.944018,
qsi_0128,12.712589,19.711676,25.445093,30.852215,36.049241,40.758059,45.199539,49.581664,54.166816,58.482178,
qsi_0256,19.777005,29.512941,37.510293,44.744502,51.652845,57.719703,63.373481,68.963654,75.165829,80.266298,
qsi_0512,33.914122,49.181903,61.176296,72.343456,82.211506,91.090127,100.166848,107.136008,115.528470,123.035227,
qsi_1024,59.818655,85.689235,105.707988,123.773179,139.592887,153.654510,166.690847,178.591246,191.712971,203.296240,
qsi_1280,73.633851,104.641731,128.942753,150.626346,168.366131,184.711308,200.219252,215.402862,229.369300,243.882040,
qsi_1536,84.970218,121.413847,150.140521,173.573068,195.427542,214.847869,232.628876,250.342111,267.012214,282.213972,
qsi_1792,98.912052,140.606024,171.557628,199.966283,226.088536,245.824385,265.992491,284.056608,303.483153,320.535209,
qsi_2048,111.686824,159.129205,194.313308,226.620510,254.609032,279.072527,300.996744,321.574458,344.033774,365.120063,
