,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.10,
k2_0002,168.028534,328.279181,489.204224,668.298340,811.857500,1004.497192,1138.851235,1283.454830,1434.672440,1581.731828,
ofb,5.033244,9.654835,14.246273,19.368801,23.441141,28.971859,32.808277,36.787049,41.126058,45.309623,
qsi_0032,5.225077,8.954783,12.541742,16.343555,19.371502,23.101805,25.981111,29.796977,32.045795,35.002219,
qsi_0064,6.246506,10.362813,14.329801,18.257840,21.513741,25.734324,28.556265,31.679246,34.953314,38.176045,
qsi_0128,8.239359,13.226934,17.757949,22.235129,25.904554,30.315814,33.789178,37.226883,40.863524,44.360602,
qsi_0256,11.951448,18.351932,24.145830,29.594058,34.059659,39.359574,43.401861,47.571798,52.030233,55.974794,
qsi_0512,19.127602,28.051547,36.369077,43.081647,48.964129,55.906360,61.371027,66.771369,72.188774,77.024017,
qsi_1024,32.851056,47.459703,60.115652,70.546720,80.262600,89.852311,97.490640,105.651927,113.193065,120.376587,
qsi_1280,39.363166,56.829861,72.036394,83.784526,94.051319,106.119048,115.858591,124.014903,132.986760,140.652794,
qsi_1536,46.385047,66.700846,82.900143,96.509235,108.408060,121.386333,132.124336,143.891885,151.677754,160.664727,
qsi_1792,51.800233,74.978610,92.819748,108.396287,123.059064,137.338019,147.550235,159.039464,171.650726,179.595101,
qsi_2048,60.151854,84.471329,105.949478,122.781517,137.709864,153.657930,167.089969,180.160148,190.589704,202.477232,
avx2_0032,4.665393,7.937506,11.089107,14.282633,17.010505,20.267730,22.796571,25.390609,28.116505,30.729893,
avx2_0064,5.727226,9.316451,12.806651,16.331086,19.160116,22.850272,25.350036,28.148765,30.975555,33.774888,
avx2_0128,7.579219,12.017208,16.172123,20.121593,23.421303,27.309881,30.380621,33.493014,36.700396,39.818694,
avx2_0256,11.215181,17.112369,22.567530,27.345286,31.389683,36.119160,39.811243,43.603831,47.433386,51.091920,
avx2_0512,18.310620,26.573459,34.025958,40.568968,45.998502,52.352481,57.249777,62.137471,67.188568,71.746569,
avx2_1024,31.672420,45.524065,57.549373,67.377584,75.750853,87.001808,92.679819,100.453710,107.462109,114.194040,
avx2_1280,38.092295,54.521616,69.402232,80.313729,90.191774,104.780741,109.559206,118.490117,126.532825,133.865065,
avx2_1536,44.881756,64.822775,79.966131,92.861375,103.758709,116.457772,128.347892,136.306590,145.207564,153.751677,
avx2_1792,50.325647,72.710679,89.878220,104.663906,118.268459,130.798742,145.027300,152.888217,162.221561,172.013458,
avx2_2048,57.713772,81.829312,102.457540,118.604229,132.313194,148.280332,161.157148,173.853709,183.488051,196.102360,
k2_0003,188.950731,367.818543,548.454615,750.373149,910.282585,1128.959706,1277.815621,1435.843140,1607.977627,1773.857345,
k2_0004,231.288597,451.736392,674.568180,917.130904,1116.686475,1382.675103,1568.626659,1760.426248,1972.789113,2176.085928,
