,size,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.10,
k2_0002,15755,0.266916,0.526724,0.756201,1.005232,1.227211,1.492705,1.705065,1.908952,2.160311,2.375597,
ofb,240040,0.021935,0.037357,0.049977,0.063457,0.075786,0.089189,0.100918,0.110781,0.124375,0.134641,
qsi_0032,12696,0.092306,0.132460,0.160116,0.190434,0.208845,0.232353,0.253160,0.272795,0.290320,0.310884,
qsi_0064,11448,0.132213,0.187979,0.228780,0.270876,0.292390,0.325660,0.351371,0.376496,0.399434,0.428053,
qsi_0128,10824,0.214596,0.303816,0.368182,0.432048,0.468597,0.519760,0.560763,0.595803,0.628671,0.671021,
qsi_0256,10504,0.387415,0.538313,0.651443,0.754833,0.812082,0.902215,0.969290,1.023099,1.088269,1.149122,
qsi_0512,10344,0.785609,1.086334,1.305027,1.513161,1.617256,1.797151,1.937991,2.030089,2.166010,2.295508,
qsi_1024,10264,1.904316,2.607458,3.092235,3.512805,3.802003,4.238154,4.574107,4.811914,5.123072,5.455790,
qsi_1280,10248,2.407857,3.271069,3.855559,4.315505,4.670802,5.118541,5.510644,5.716975,6.008623,6.370412,
qsi_1536,10248,2.403418,3.300942,3.919298,4.515646,4.925797,5.436622,5.855744,6.190393,6.421443,6.828855,
qsi_1792,10232,3.377986,4.639531,5.380174,6.172956,6.611757,7.381308,7.905719,8.282208,8.670501,9.309278,
qsi_2048,10232,3.201396,4.466194,5.259655,5.917324,6.450175,7.222970,7.750300,8.146403,8.952624,9.229560,
avx2_0032,12696,0.086463,0.122804,0.149280,0.177815,0.193518,0.214374,0.233896,0.251424,0.268021,0.286566,
avx2_0064,11448,0.125386,0.177476,0.215557,0.253926,0.275329,0.306482,0.330866,0.353796,0.375236,0.402593,
avx2_0128,10824,0.206609,0.291541,0.355094,0.413812,0.446886,0.515071,0.537743,0.568508,0.599356,0.641178,
avx2_0256,10504,0.373945,0.522329,0.631251,0.732353,0.786077,0.872943,0.936594,0.989263,1.050255,1.112460,
avx2_0512,10344,0.764457,1.057036,1.271980,1.462828,1.574375,1.749646,1.891494,1.985712,2.131441,2.254377,
avx2_1024,10264,1.862247,2.553250,3.013207,3.432284,3.712597,4.141006,4.477382,4.705965,5.013935,5.327471,
avx2_1280,10248,2.360934,3.189777,3.744634,4.229418,4.574659,5.009399,5.390606,5.606628,5.885610,6.288458,
avx2_1536,10248,2.339271,3.229135,3.835180,4.422863,4.830574,5.378894,5.719141,6.050928,6.330792,6.680992,
avx2_1792,10232,3.307893,4.527212,5.273838,5.971844,6.481496,7.219764,7.742679,8.099353,8.494671,9.125978,
avx2_2048,10232,3.137056,4.346892,5.156322,5.796159,6.307645,7.109317,7.609278,7.979141,8.410907,9.027416,
k2_0003,20571,0.289388,0.575151,0.827324,1.098530,1.347580,1.637512,1.874564,2.101823,2.375547,2.613909,
k2_0004,27115,0.345231,0.690695,0.991472,1.318991,1.615931,1.968700,2.256109,2.521553,2.859619,3.140897,
